X,Y,OBJECTID,CODE,STATE,ADMIN_NAME,GEO_ZONE,AREA_SQKM,POP_2016,CENTER_Y,CENTER_X,CASES,DEATHS,RECOVERED,ACTIVE,NEW_CASES,NEW_DEATH,NEW_DISCHARGED,SCREENED
7.523189982,5.453302119,1,NG001,Abia,Abia State,South East,4858.88,3644714,5.453302119,7.523189982,460,3,365,92,4,0,0,1309
12.40024078,9.323227332,2,NG002,Adamawa,Adamawa State,North East,37924.99,4145684,9.323227332,12.40024078,111,8,83,20,0,0,0,1109
7.846394928,4.907245026,3,NG003,Akwa-Ibom,Akwa Ibom State,South South,6723.2,5353609,4.907245026,7.846394928,162,3,121,38,0,0,9,663
6.932186089,6.222775877,4,NG004,Anambra,Anambra State,South East,4807.93,5425334,6.222775877,6.932186089,118,10,67,41,0,0,0,554
9.990588234,10.79664717,5,NG005,Bauchi,Bauchi State,North East,48496.4,6386388,10.79664717,9.990588234,522,13,505,4,0,0,0,4317
6.08041884,4.766315328,6,NG006,Bayelsa,Bayelsa State,South South,9546.42,2228965,4.766315328,6.08041884,318,20,175,123,0,1,12,803
8.751907951,7.341086058,7,NG007,Benue,Benue State,North Central,31462.23,5568946,7.341086058,8.751907951,185,6,42,137,42,0,0,885
13.09877091,11.86524255,8,NG008,Borno,Borno State,North East,75949.95,5669054,11.86524255,13.09877091,597,35,503,59,4,0,39,5440
8.59875592,5.845901003,9,NG009,Cross River,Cross River State,South South,21417.61,3780419,5.845901003,8.59875592,12,1,3,8,0,0,0,16
5.936929598,5.704898235,10,NG010,Delta,Delta State,South South,17113,5502806,5.704898235,5.936929598,1415,37,585,793,11,2,0,4947
8.016266263,6.262027249,11,NG011,Ebonyi,Ebonyi State,South East,6336.48,2819675,6.262027249,8.016266263,646,10,532,104,0,0,0,2727
5.93021466,6.633537265,12,NG012,Edo,Edo State,South South,19555.55,4138994,6.633537265,5.93021466,1885,62,1208,615,11,0,58,9359
5.309515527,7.720080404,13,NG013,Ekiti,Ekiti State,South West,5773.24,3174006,7.720080404,5.309515527,78,2,47,29,6,0,7,1188
7.440611163,6.536244896,14,NG014,Enugu,Enugu State,South East,7635.72,4299281,6.536244896,7.440611163,595,16,360,219,35,0,30,1310
7.195557236,8.897617232,15,NG015,FCT,Federal Capital Territory,North Central,7388.14,2996670,8.897617232,7.195557236,2879,39,857,1983,118,0,17,23169
11.19199514,10.38358785,16,NG016,Gombe,Gombe State,North East,17438,3160494,10.38358785,11.19199514,540,22,475,43,3,0,0,6426
7.062307591,5.573020021,17,NG017,Imo,Imo State,South East,5075.46,5283288,5.573020021,7.062307591,436,9,83,344,16,0,5,1921
9.563558283,12.23842042,18,NG018,Jigawa,Jigawa State,North West,23201.55,5690516,12.23842042,9.563558283,322,11,308,3,0,0,0,2769
7.705978606,10.39236691,19,NG019,Kaduna,Kaduna State,North West,44146.82,8007205,10.39236691,7.705978606,1099,12,829,258,12,0,85,8137
8.529557183,11.74520194,20,NG020,Kano,Kano State,North West,20310.4,12706778,11.74520194,8.529557183,1386,53,1071,262,55,0,36,19916
7.628834204,12.37830071,21,NG021,Katsina,Katsina State,North West,23957.92,7645575,12.37830071,7.628834204,669,23,441,205,0,0,0,3876
4.51668667,11.74395642,22,NG022,Kebbi,Kebbi State,North West,36788.02,4311454,11.74395642,4.51668667,88,7,74,7,0,0,0,740
6.686754337,7.736607886,23,NG023,Kogi,Kogi State,North Central,28925.88,4327246,7.736607886,6.686754337,5,2,3,0,0,0,0,24
4.385168584,8.965933764,24,NG024,Kwara,Kwara State,North Central,33838.42,3129582,8.965933764,4.385168584,450,14,187,249,28,0,8,2430
3.586974902,6.52242433,25,NG025,Lagos,Lagos State,South West,3701.45,12102238,6.52242433,3.586974902,13226,176,1958,11092,129,0,10,55152
8.19796222,8.510446426,26,NG026,Nasarawa,Nasarawa State,North Central,26750.46,2459321,8.510446426,8.19796222,254,8,113,133,0,0,0,1688
5.590434858,9.933226341,27,NG027,Niger,Niger State,North Central,72143.47,5394631,9.933226341,5.590434858,151,7,112,32,6,0,4,1138
3.473261779,6.995135101,28,NG028,Ogun,Ogun State,South West,16810.67,5048351,6.995135101,3.473261779,1159,22,777,360,13,0,0,6521
5.150609212,6.917995343,29,NG029,Ondo,Ondo State,South West,15132.2,4541779,6.917995343,5.150609212,877,21,139,717,12,0,0,2824
4.51776227,7.562918519,30,NG030,Osun,Osun State,South West,8644.3,4596693,7.562918519,4.51776227,328,9,84,235,0,0,0,1477
3.612911627,8.158826811,31,NG031,Oyo,Oyo State,South West,27824.83,7636122,8.158826811,3.612911627,2076,19,1011,1046,87,0,0,12414
9.512049504,9.232416151,32,NG032,Plateau,Plateau State,North Central,26489.78,4088038,9.232416151,9.512049504,603,16,264,323,8,0,4,7566
6.918181455,4.845392316,33,NG033,Rivers,Rivers State,South South,10188.8,7081412,4.845392316,6.918181455,1480,47,981,452,0,0,17,4377
5.318810473,13.03799337,34,NG034,Sokoto,Sokoto State,North West,32257.59,4879641,13.03799337,5.318810473,153,16,137,0,0,0,0,936
10.78647944,8.023131157,35,NG035,Taraba,Taraba State,North East,58561.23,2984174,8.023131157,10.78647944,30,0,11,19,0,0,0,438
11.39326601,12.37621509,36,NG036,Yobe,Yobe State,North East,41414.37,3197296,12.37621509,11.39326601,63,8,51,4,0,0,0,134
6.246534746,12.10150481,37,NG037,Zamfara,Zamfara State,North West,33561.96,4376911,12.10150481,6.246534746,76,5,71,0,0,0,0,316
